emission energy,singlet,doublet,triplet,quartet,quintet
7061.8,0.052284,0.066832,0.070641,0.084441,0.10238
7061.9,0.049773,0.063168,0.06641,0.079167,0.09541
7062,0.047261,0.059739,0.062367,0.073989,0.088441
7062.1,0.045253,0.056338,0.05898,0.069116,0.082916
7062.2,0.043589,0.053571,0.056292,0.066006,0.077391
7062.3,0.041925,0.050899,0.053714,0.06295,0.071866
7062.4,0.040326,0.048284,0.051338,0.060073,0.067514
7062.5,0.0388,0.045729,0.049064,0.057345,0.063664
7062.6,0.037293,0.043182,0.0467,0.054598,0.059815
7062.7,0.035825,0.041195,0.044239,0.051737,0.05627
7062.8,0.034477,0.03929,0.042043,0.048929,0.053437
7062.9,0.033193,0.037708,0.040391,0.04649,0.050603
7063,0.031908,0.036488,0.039018,0.044366,0.04777
7063.1,0.030759,0.035311,0.03756,0.042324,0.045466
7063.2,0.029702,0.034102,0.036014,0.040717,0.043161
7063.3,0.028646,0.032888,0.034538,0.03914,0.040856
7063.4,0.027609,0.031712,0.033207,0.037765,0.039089
7063.5,0.026594,0.030582,0.031953,0.036571,0.037553
7063.6,0.025584,0.029457,0.030741,0.035347,0.036016
7063.7,0.024631,0.028337,0.029573,0.033953,0.034587
7063.8,0.023846,0.027219,0.028466,0.032588,0.033406
7063.9,0.023152,0.026102,0.027485,0.031424,0.032225
7064,0.022457,0.024986,0.026569,0.030432,0.031044
7064.1,0.021773,0.023869,0.025796,0.029445,0.029944
7064.2,0.021097,0.023401,0.025174,0.028493,0.028844
7064.3,0.02042,0.023018,0.024472,0.027562,0.027744
7064.4,0.019756,0.022547,0.023603,0.026767,0.02683
7064.5,0.019107,0.021976,0.022648,0.026087,0.025997
7064.6,0.018461,0.021393,0.021865,0.025487,0.025163
7064.7,0.017846,0.020686,0.021262,0.025341,0.024372
7064.8,0.017323,0.019962,0.020756,0.025135,0.023682
7064.9,0.016848,0.019506,0.020455,0.024504,0.022991
7065,0.016374,0.019371,0.020256,0.023493,0.0223
7065.1,0.015873,0.019263,0.019673,0.022518,0.021928
7065.2,0.015353,0.018438,0.018694,0.021733,0.021555
7065.3,0.014834,0.017518,0.017924,0.020992,0.021182
7065.4,0.014347,0.01691,0.017579,0.020544,0.020703
7065.5,0.013897,0.016649,0.017449,0.020342,0.020177
7065.6,0.013457,0.016429,0.017189,0.020086,0.019652
7065.7,0.013052,0.016025,0.016789,0.019522,0.019135
7065.8,0.012756,0.015594,0.016412,0.018974,0.018637
7065.9,0.012517,0.01517,0.016081,0.018561,0.018139
7066,0.012278,0.014751,0.015773,0.018259,0.017641
7066.1,0.01205,0.014334,0.015411,0.017918,0.017277
7066.2,0.011829,0.014111,0.014989,0.017353,0.016913
7066.3,0.011608,0.013916,0.01457,0.016807,0.016549
7066.4,0.01139,0.013635,0.014158,0.016408,0.016134
7066.5,0.011176,0.013255,0.013749,0.016137,0.015684
7066.6,0.010963,0.012866,0.013385,0.015908,0.015235
7066.7,0.010759,0.012635,0.013067,0.015908,0.014801
7066.8,0.010582,0.012426,0.01277,0.015866,0.014402
7066.9,0.010419,0.01214,0.012519,0.015547,0.014003
7067,0.010257,0.011763,0.012293,0.014977,0.013604
7067.1,0.010062,0.011375,0.012052,0.014453,0.013387
7067.2,0.0098437,0.011155,0.011797,0.014185,0.01317
7067.3,0.0096259,0.010959,0.011535,0.013921,0.012953
7067.4,0.0094591,0.010784,0.011256,0.013662,0.012664
7067.5,0.0093493,0.010633,0.01097,0.013409,0.012345
7067.6,0.0092545,0.010485,0.010748,0.013136,0.012026
7067.7,0.0091507,0.010325,0.010592,0.01275,0.011705
7067.8,0.00902,0.010164,0.010424,0.012378,0.011377
7067.9,0.008875,0.0099307,0.010229,0.012112,0.011048
7068,0.00873,0.0096147,0.010021,0.011938,0.01072
7068.1,0.0086014,0.0092888,0.0098163,0.011777,0.010497
7068.2,0.0084841,0.009199,0.0096162,0.011691,0.010274
7068.3,0.0083668,0.0091429,0.0094294,0.011589,0.010051
7068.4,0.0082333,0.0090235,0.0092709,0.011368,0.0098703
7068.5,0.0080817,0.0088267,0.0091275,0.011039,0.0097086
7068.6,0.0079254,0.0086221,0.0089936,0.010721,0.0095468
7068.7,0.0077689,0.0085588,0.0088694,0.010466,0.0094064
7068.8,0.0076119,0.0085144,0.0087206,0.010223,0.0093158
7068.9,0.0074545,0.0083627,0.0085205,0.010069,0.0092252
7069,0.0072972,0.0080875,0.0082938,0.0099898,0.0091346
7069.1,0.0071851,0.0077978,0.0081284,0.0098808,0.0090853
7069.2,0.0071039,0.0077416,0.0080285,0.0095972,0.009036
7069.3,0.0070228,0.0077212,0.0079403,0.0093123,0.0089867
7069.4,0.0069437,0.0076675,0.0078732,0.0090418,0.0088884
7069.5,0.0068669,0.0075752,0.0078171,0.0087836,0.008769
7069.6,0.0067906,0.0074784,0.00766,0.0085591,0.0086496
7069.7,0.0067057,0.0072554,0.0073949,0.0085285,0.0084812
7069.8,0.0065946,0.0070131,0.0071958,0.0084804,0.0081985
7069.9,0.0064696,0.0068436,0.0071383,0.0082868,0.0079157
7070,0.0063446,0.0067584,0.007153,0.0079677,0.007633
